»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,117,«·∂»Œ€»æ,89,155,70,2,64,78
2015-01-01,103,«·∂»Œ€»æ,78,134,55,1.1,43,58
2015-01-02,125,«·∂»Œ€»æ,95,139,41,1.7,45,55
2015-01-03,140,«·∂»Œ€»æ,107,148,44,1.8,39,58
2015-01-04,209,÷ÿ∂»Œ€»æ,159,230,69,2.7,58,43
2015-01-05,103,«·∂»Œ€»æ,77,108,36,1.3,31,70
2015-01-06,64,¡º,46,57,25,0.7,27,62
2015-01-07,101,«·∂»Œ€»æ,76,112,61,2.4,44,41
2015-01-08,90,¡º,67,106,46,1.8,42,63
2015-01-09,81,¡º,60,97,41,1.5,47,45
2015-01-10,87,¡º,65,96,43,1.4,43,51
2015-01-11,93,¡º,69,104,45,1.6,41,44
2015-01-12,86,¡º,64,89,37,1.3,33,68
2015-01-13,81,¡º,60,76,24,1,25,63
2015-01-14,84,¡º,62,83,23,1.2,28,66
2015-01-15,105,«·∂»Œ€»æ,79,88,31,2.2,40,56
2015-01-16,108,«·∂»Œ€»æ,81,119,34,2,40,61
2015-01-17,83,¡º,61,92,33,1.5,30,74
2015-01-18,89,¡º,66,113,41,1.3,31,63
2015-01-19,82,¡º,61,103,30,1.4,30,74
2015-01-20,99,¡º,74,118,40,2.1,44,62
2015-01-21,75,¡º,46,101,41,1.9,38,61
2015-01-22,93,¡º,70,120,41,1.7,43,62
2015-01-23,115,«·∂»Œ€»æ,87,124,28,1.1,37,87
2015-01-24,140,«·∂»Œ€»æ,107,153,42,1.6,50,78
2015-01-25,130,«·∂»Œ€»æ,99,156,45,1.1,48,62
2015-01-26,106,«·∂»Œ€»æ,79,110,34,0.6,36,68
2015-01-27,86,¡º,64,93,23,0.7,22,66
2015-01-28,49,”≈,34,46,25,1.4,25,56
2015-01-29,69,¡º,44,88,24,0.7,17,74
2015-01-30,65,¡º,47,77,24,0.7,16,69
2015-01-31,60,¡º,43,50,22,0.8,15,69
2015-02-01,62,¡º,44,52,27,1,18,63
2015-02-02,46,”≈,32,39,23,1.1,17,49
2015-02-03,69,¡º,50,74,33,1.1,28,81
2015-02-04,95,¡º,71,99,21,1,27,86
2015-02-05,99,¡º,74,102,24,1,29,87
2015-02-06,109,«·∂»Œ€»æ,82,106,29,1.1,34,66
2015-02-07,80,¡º,58,110,21,0.5,24,91
2015-02-08,79,¡º,47,107,31,0.6,28,96
2015-02-09,92,¡º,68,108,26,0.8,26,95
2015-02-10,86,¡º,64,102,25,1.3,35,85
2015-02-11,82,¡º,60,114,36,1,42,83
2015-02-12,85,¡º,59,120,41,1.3,41,74
2015-02-13,82,¡º,60,108,22,1.1,29,106
2015-02-14,96,¡º,72,98,27,0.6,25,115
2015-02-15,146,«·∂»Œ€»æ,75,242,17,1.1,18,82
2015-02-16,91,¡º,49,133,24,1.2,20,86
2015-02-17,89,¡º,60,128,26,0.8,18,100
2015-02-18,116,«·∂»Œ€»æ,88,129,29,1.2,22,94
2015-02-19,71,¡º,52,65,38,1.3,15,87
2015-02-20,69,¡º,50,65,23,1.3,18,67
2015-02-21,92,¡º,69,113,21,1.1,19,78
2015-02-22,72,¡º,44,95,14,0.6,11,87
2015-02-23,59,¡º,39,69,18,0.8,12,80
2015-02-24,68,¡º,50,81,29,1.2,17,67
2015-02-25,63,¡º,36,77,19,0.7,17,85
2015-02-26,69,¡º,38,87,17,0.3,13,77
2015-02-27,41,”≈,29,30,16,0.6,17,72
2015-02-28,70,¡º,47,89,14,0.3,11,82
2015-03-01,54,¡º,33,59,20,0.4,15,76
2015-03-02,70,¡º,50,89,23,0.7,23,64
2015-03-03,275,÷ÿ∂»Œ€»æ,89,403,10,0.6,9,83
2015-03-04,96,¡º,61,142,19,0.4,18,78
2015-03-05,47,”≈,33,45,16,0.5,13,75
2015-03-06,60,¡º,43,67,17,0.6,18,64
2015-03-07,60,¡º,43,68,20,0.8,21,57
2015-03-08,70,¡º,51,76,22,0.9,31,79
2015-03-09,79,¡º,58,99,25,1.1,34,92
2015-03-10,80,¡º,59,92,17,0.6,28,91
2015-03-11,63,¡º,46,65,17,0.4,29,82
2015-03-12,69,¡º,50,76,22,0.7,25,96
2015-03-13,73,¡º,53,82,16,1,26,108
2015-03-14,67,¡º,49,81,11,0.7,27,104
2015-03-15,70,¡º,51,72,16,1,19,109
2015-03-16,77,¡º,56,77,21,1,30,91
2015-03-17,81,¡º,60,89,13,1.1,40,62
2015-03-18,84,¡º,62,110,12,0.8,25,107
2015-03-19,71,¡º,52,74,10,0.8,25,99
2015-03-20,75,¡º,54,100,14,0.7,29,111
2015-03-21,76,¡º,52,103,13,0.6,25,108
2015-03-22,86,¡º,63,95,10,1,36,106
2015-03-23,52,¡º,32,53,15,0.8,32,94
2015-03-24,40,”≈,23,39,7,0.6,22,80
2015-03-25,55,¡º,25,37,10,0.7,18,106
2015-03-26,52,¡º,35,46,7,0.6,17,102
2015-03-27,65,¡º,48,58,11,0.8,20,118
2015-03-28,68,¡º,34,68,12,0.7,17,121
2015-03-29,53,¡º,37,57,11,0.7,18,99
2015-03-30,80,¡º,44,63,11,0.8,19,136
2015-03-31,61,¡º,44,61,11,0.8,19,104
2015-04-01,55,¡º,39,54,12,0.8,16,89
2015-04-02,81,¡º,45,113,9,0.6,15,118
2015-04-03,70,¡º,43,82,7,0.6,16,124
2015-04-04,57,¡º,31,64,3,0.6,20,69
2015-04-05,57,¡º,22,37,5,0.5,14,108
2015-04-06,54,¡º,24,25,5,0.5,14,105
2015-04-07,50,”≈,23,26,5,0.5,14,100
2015-04-08,44,”≈,25,26,5,0.7,17,88
2015-04-09,59,¡º,27,41,6,0.7,20,111
2015-04-10,61,¡º,35,55,8,0.6,23,113
2015-04-11,60,¡º,29,46,6,0.6,18,112
2015-04-12,70,¡º,33,90,9,0.5,21,111
2015-04-13,68,¡º,29,74,9,0.5,24,121
2015-04-14,67,¡º,35,78,11,0.7,28,120
2015-04-15,67,¡º,35,83,9,0.6,29,112
2015-04-16,93,¡º,39,90,16,0.7,24,151
2015-04-17,88,¡º,47,83,15,0.6,19,146
2015-04-18,78,¡º,51,107,13,0.6,15,128
2015-04-19,49,”≈,16,27,10,0.4,13,97
2015-04-20,44,”≈,26,38,11,0.5,18,88
2015-04-21,62,¡º,21,29,10,0.4,16,114
2015-04-22,63,¡º,25,39,9,0.4,18,116
2015-04-23,61,¡º,22,37,13,0.5,22,113
2015-04-24,82,¡º,26,53,15,0.6,28,138
2015-04-25,71,¡º,31,50,11,0.5,17,125
2015-04-26,58,¡º,30,42,11,0.5,15,109
2015-04-27,83,¡º,44,60,14,0.6,19,139
2015-04-28,86,¡º,43,60,13,0.6,21,143
2015-04-29,113,«·∂»Œ€»æ,53,88,17,0.6,18,174
2015-04-30,118,«·∂»Œ€»æ,66,101,14,0.6,15,180
2015-05-01,73,¡º,20,30,9,0.4,12,127
2015-05-02,73,¡º,30,58,13,0.5,21,127
2015-05-03,76,¡º,31,41,13,0.5,18,131
2015-05-04,71,¡º,23,32,10,0.4,12,125
2015-05-05,60,¡º,31,43,14,0.5,16,112
2015-05-06,53,¡º,30,52,13,0.6,24,103
2015-05-07,67,¡º,49,71,19,0.7,25,104
2015-05-08,64,¡º,30,53,10,0.5,16,117
2015-05-09,90,¡º,36,62,10,0.5,17,148
2015-05-10,124,«·∂»Œ€»æ,49,76,12,0.5,15,186
2015-05-11,66,¡º,28,83,9,0.4,11,112
2015-05-12,83,¡º,42,117,13,0.5,17,120
2015-05-13,83,¡º,49,117,16,0.6,17,135
2015-05-14,83,¡º,60,116,14,0.8,28,121
2015-05-15,63,¡º,37,73,10,0.6,22,116
2015-05-16,69,¡º,47,88,11,0.6,30,81
2015-05-17,59,¡º,42,68,9,0.6,23,100
2015-05-18,80,¡º,43,110,15,0.5,22,119
2015-05-19,85,¡º,52,76,8,0.5,14,142
2015-05-20,78,¡º,58,85,17,0.5,15,129
2015-05-21,65,¡º,31,40,13,0.4,12,118
2015-05-22,69,¡º,23,43,15,0.4,13,123
2015-05-23,64,¡º,21,47,15,0.5,15,117
2015-05-24,67,¡º,25,40,11,0.5,13,120
2015-05-25,68,¡º,26,36,12,0.5,13,122
2015-05-26,53,¡º,25,39,11,0.6,15,103
2015-05-27,52,¡º,31,54,12,0.7,24,102
2015-05-28,47,”≈,28,47,11,0.6,19,81
2015-05-29,53,¡º,17,34,12,0.5,18,104
2015-05-30,62,¡º,16,37,13,0.4,12,114
2015-05-31,82,¡º,31,53,11,0.6,14,138
2015-06-01,55,¡º,30,51,10,0.6,23,106
2015-06-02,50,”≈,28,50,11,0.5,23,86
2015-06-03,53,¡º,20,35,9,0.5,20,103
2015-06-04,63,¡º,16,39,11,0.5,15,116
2015-06-05,73,¡º,17,52,16,0.5,19,127
2015-06-06,80,¡º,22,49,17,0.5,20,136
2015-06-07,60,¡º,25,54,15,0.6,24,112
2015-06-08,57,¡º,26,62,13,0.5,21,108
2015-06-09,74,¡º,22,63,16,0.6,21,129
2015-06-10,84,¡º,41,119,12,0.4,18,132
2015-06-11,101,«·∂»Œ€»æ,41,152,14,0.5,22,124
2015-06-12,68,¡º,32,86,9,0.5,17,107
2015-06-13,74,¡º,33,98,7,0.4,18,127
2015-06-14,58,¡º,29,60,10,0.6,25,110
2015-06-15,61,¡º,26,71,11,0.4,16,102
2015-06-16,54,¡º,20,58,12,0.5,15,102
2015-06-17,92,¡º,26,134,14,0.5,29,108
2015-06-18,78,¡º,21,97,13,0.4,25,134
2015-06-19,80,¡º,33,111,15,0.7,26,119
2015-06-20,74,¡º,31,97,17,1,27,108
2015-06-21,66,¡º,19,78,8,0.8,18,119
2015-06-22,72,¡º,12,55,14,0.9,13,126
2015-06-23,58,¡º,12,65,6,1,23,97
2015-06-24,67,¡º,16,84,12,1,30,81
2015-06-25,61,¡º,12,63,8,0.9,20,113
2015-06-26,57,¡º,12,63,17,0.9,15,101
2015-06-27,54,¡º,12,58,16,1.1,17,93
2015-06-28,54,¡º,11,58,13,1.2,21,59
2015-06-29,74,¡º,26,99,12,1,23,77
2015-06-30,105,«·∂»Œ€»æ,49,160,17,0.9,31,74
2015-07-01,66,¡º,18,69,17,0.7,21,119
2015-07-02,62,¡º,22,75,13,0.8,28,104
2015-07-03,50,”≈,24,50,10,0.8,21,90
2015-07-04,52,¡º,27,54,10,0.7,25,85
2015-07-05,66,¡º,18,59,18,0.8,24,119
2015-07-06,58,¡º,11,35,12,0.7,15,109
2015-07-07,51,¡º,28,51,11,0.6,15,96
2015-07-08,70,¡º,34,57,14,0.7,15,124
2015-07-09,58,¡º,18,37,14,0.5,16,110
2015-07-10,50,”≈,13,40,18,0.4,15,100
2015-07-11,59,¡º,29,54,19,0.5,14,111
2015-07-12,65,¡º,45,80,20,0.6,20,114
2015-07-13,95,¡º,52,139,16,0.5,21,103
2015-07-14,84,¡º,44,118,18,0.6,20,116
2015-07-15,70,¡º,19,48,18,0.4,14,124
2015-07-16,63,¡º,17,42,15,0.5,15,116
2015-07-17,59,¡º,13,31,16,0.4,12,111
2015-07-18,61,¡º,15,34,15,0.5,13,113
2015-07-19,54,¡º,16,36,18,0.4,14,105
2015-07-20,63,¡º,34,41,21,0.5,16,115
2015-07-21,51,¡º,28,30,17,0.7,14,101
2015-07-22,157,÷–∂»Œ€»æ,19,30,45,0.6,23,222
2015-07-23,148,«·∂»Œ€»æ,12,26,38,0.6,26,212
2015-07-24,59,¡º,16,47,21,0.6,24,110
2015-07-25,70,¡º,22,43,16,0.6,25,123
2015-07-26,62,¡º,30,49,15,0.5,18,114
2015-07-27,70,¡º,36,53,10,0.5,14,124
2015-07-28,77,¡º,37,50,16,0.5,13,132
2015-07-29,85,¡º,46,55,10,0.5,14,141
2015-07-30,71,¡º,49,57,11,0.6,14,125
2015-07-31,68,¡º,49,57,14,0.5,13,109
2015-08-01,67,¡º,48,47,10,0.4,10,116
2015-08-02,59,¡º,42,55,9,0.4,13,108
2015-08-03,44,”≈,27,38,9,0.5,17,87
2015-08-04,43,”≈,25,33,13,0.5,17,85
2015-08-05,55,¡º,20,36,15,0.5,18,105
2015-08-06,56,¡º,25,49,19,0.5,18,107
2015-08-07,50,”≈,28,43,18,0.6,21,99
2015-08-08,43,”≈,30,37,10,0.6,14,83
2015-08-09,44,”≈,29,38,12,0.6,15,87
2015-08-10,48,”≈,33,38,12,0.6,14,84
2015-08-11,54,¡º,38,41,13,0.6,14,81
2015-08-12,46,”≈,26,46,19,0.6,11,92
2015-08-13,55,¡º,18,47,20,0.5,12,106
2015-08-14,48,”≈,18,41,8,0.5,13,95
2015-08-15,45,”≈,14,40,12,0.6,17,90
2015-08-16,59,¡º,27,68,17,0.8,26,80
2015-08-17,98,¡º,67,146,11,0.6,16,70
2015-08-18,75,¡º,54,99,15,0.7,24,78
2015-08-19,57,¡º,26,63,16,0.6,25,82
2015-08-20,53,¡º,19,50,15,0.6,28,103
2015-08-21,52,¡º,15,42,17,0.5,23,102
2015-08-22,47,”≈,21,41,14,0.5,25,94
2015-08-23,45,”≈,18,36,12,0.4,22,90
2015-08-24,42,”≈,26,42,13,0.5,27,76
2015-08-25,39,”≈,23,39,12,0.4,22,78
2015-08-26,38,”≈,23,33,11,0.4,19,76
2015-08-27,41,”≈,24,39,11,0.6,21,82
2015-08-28,60,¡º,21,37,13,0.5,21,112
2015-08-29,59,¡º,24,42,15,0.6,22,110
2015-08-30,59,¡º,29,48,11,0.5,21,110
2015-08-31,53,¡º,37,51,13,0.6,20,103
2015-09-01,60,¡º,43,58,13,0.7,25,94
2015-09-02,63,¡º,45,53,13,0.6,15,104
2015-09-03,55,¡º,30,41,11,0.6,16,105
2015-09-04,46,”≈,27,37,10,0.7,21,91
2015-09-05,46,”≈,32,42,11,0.6,21,78
2015-09-06,51,¡º,30,51,12,0.5,19,94
2015-09-07,57,¡º,40,56,15,0.6,22,96
2015-09-08,55,¡º,39,50,16,0.8,29,63
2015-09-09,32,”≈,18,28,10,0.8,20,64
2015-09-10,38,”≈,22,33,11,0.9,30,43
2015-09-11,37,”≈,20,33,14,0.7,21,74
2015-09-12,38,”≈,21,38,16,0.8,25,70
2015-09-13,53,¡º,23,55,18,0.7,23,66
2015-09-14,45,”≈,31,45,16,0.5,19,64
2015-09-15,59,¡º,42,56,13,0.6,21,74
2015-09-16,45,”≈,31,42,10,0.5,22,87
2015-09-17,50,”≈,26,50,13,0.8,25,60
2015-09-18,53,¡º,27,55,13,0.9,28,70
2015-09-19,48,”≈,33,46,12,0.8,24,65
2015-09-20,47,”≈,31,47,13,0.8,19,74
2015-09-21,43,”≈,27,42,15,0.8,18,86
2015-09-22,54,¡º,16,25,8,0.8,16,104
2015-09-23,41,”≈,24,41,13,0.9,31,47
2015-09-24,36,”≈,22,36,16,0.9,24,51
2015-09-25,45,”≈,31,42,11,0.8,20,80
2015-09-26,55,¡º,39,53,14,0.9,22,75
2015-09-27,43,”≈,30,37,12,0.8,14,57
2015-09-28,38,”≈,26,22,17,0.9,19,56
2015-09-29,53,¡º,37,42,22,1,20,54
2015-09-30,49,”≈,33,49,15,0.8,17,55
2015-10-02,64,¡º,31,77,37,0.7,19,78
2015-10-03,63,¡º,41,76,25,0.5,20,86
2015-10-04,43,”≈,30,42,17,0.5,14,82
2015-10-05,49,”≈,34,43,16,0.4,12,64
2015-10-06,57,¡º,39,63,22,0.7,22,55
2015-10-07,70,¡º,51,84,24,0.7,31,88
2015-10-08,63,¡º,45,66,20,0.6,23,57
2015-10-09,61,¡º,41,71,12,0.7,30,62
2015-10-10,69,¡º,50,86,32,0.8,38,50
2015-10-11,56,¡º,33,61,16,0.6,28,70
2015-10-12,63,¡º,45,66,27,0.6,19,98
2015-10-13,80,¡º,59,71,26,0.6,20,113
2015-10-14,87,¡º,64,77,29,0.7,27,71
2015-10-15,88,¡º,65,76,18,1,22,82
2015-10-16,110,«·∂»Œ€»æ,83,95,32,0.7,27,96
2015-10-17,98,¡º,73,80,36,0.7,31,95
2015-10-18,57,¡º,40,55,24,0.9,32,68
2015-10-19,60,¡º,43,61,22,0.9,34,56
2015-10-20,43,”≈,30,41,31,0.8,20,40
2015-10-21,55,¡º,35,59,35,0.9,30,74
2015-10-22,35,”≈,13,23,22,0.8,28,70
2015-10-23,37,”≈,11,26,30,0.7,29,38
2015-10-24,47,”≈,16,31,27,0.9,37,36
2015-10-25,32,”≈,8,22,27,0.8,24,64
2015-10-26,32,”≈,8,18,13,0.4,17,63
2015-10-27,46,”≈,11,46,13,0.6,26,51
2015-10-28,48,”≈,15,48,11,0.6,24,56
2015-10-29,54,¡º,20,57,23,0.6,29,69
2015-10-30,50,”≈,20,50,19,0.5,24,62
2015-10-31,36,”≈,21,36,21,0.6,24,44
2015-11-01,59,¡º,35,68,28,1.2,42,47
2015-11-02,42,”≈,21,42,26,0.8,27,50
2015-11-03,49,”≈,25,49,26,1,34,38
2015-11-04,32,”≈,11,27,17,0.7,25,50
2015-11-05,40,”≈,13,29,19,0.9,32,40
2015-11-06,32,”≈,5,13,17,1.1,25,26
2015-11-07,37,”≈,12,25,16,0.9,29,30
2015-11-08,54,¡º,29,58,21,1.3,40,50
2015-11-09,48,”≈,27,48,20,0.9,37,34
2015-11-10,45,”≈,18,40,17,0.9,36,38
2015-11-11,47,”≈,13,28,8,0.9,37,31
2015-11-12,45,”≈,8,19,17,0.9,36,27
2015-11-13,33,”≈,8,19,23,0.8,26,41
2015-11-14,48,”≈,14,30,27,0.9,38,26
2015-11-15,68,¡º,27,60,30,1.1,54,59
2015-11-16,56,¡º,27,61,23,0.8,42,39
2015-11-17,42,”≈,13,34,20,1,33,34
2015-11-18,41,”≈,13,41,14,1,27,43
2015-11-19,45,”≈,19,45,13,1,24,40
2015-11-20,50,”≈,16,50,19,1.2,29,47
2015-11-21,47,”≈,20,47,20,1.1,26,48
2015-11-22,52,¡º,23,53,33,1.3,30,40
2015-11-23,37,”≈,12,26,24,1.4,28,30
2015-11-24,32,”≈,16,30,19,1,23,64
2015-11-25,55,¡º,26,60,24,0.9,32,55
2015-11-26,68,¡º,39,86,52,1.5,47,46
2015-11-27,52,¡º,27,53,44,1.3,41,41
2015-11-28,63,¡º,37,76,49,1.3,45,37
2015-11-29,62,¡º,39,73,56,1.6,46,39
2015-11-30,54,¡º,28,58,46,1,29,36
2015-12-01,58,¡º,27,66,41,1,34,48
2015-12-02,97,¡º,50,144,44,1.5,49,48
2015-12-03,89,¡º,48,128,48,1.3,48,41
2015-12-04,70,¡º,32,90,49,1.1,47,26
2015-12-05,54,¡º,22,58,35,1.1,43,30
2015-12-06,46,”≈,17,46,37,1.1,34,35
2015-12-07,37,”≈,12,37,34,0.9,29,40
2015-12-08,42,”≈,17,39,33,1,33,35
2015-12-09,51,¡º,25,52,49,1.1,34,32
2015-12-10,33,”≈,21,33,32,0.9,25,38
2015-12-11,41,”≈,15,30,41,1,25,56
2015-12-12,32,”≈,12,20,28,1,25,40
2015-12-13,33,”≈,22,33,27,0.9,22,62
2015-12-14,35,”≈,21,35,22,0.7,23,62
2015-12-15,46,”≈,25,46,34,0.8,28,58
2015-12-16,62,¡º,42,74,41,1.3,42,48
2015-12-17,54,¡º,38,57,39,1,34,48
2015-12-18,59,¡º,42,55,30,1,27,59
2015-12-19,58,¡º,41,59,19,1,28,52
2015-12-20,48,”≈,33,43,20,0.9,25,39
2015-12-21,52,¡º,36,51,23,1.1,31,31
2015-12-22,58,¡º,40,65,31,1.4,40,19
2015-12-23,62,¡º,44,72,41,1.6,47,24
2015-12-24,72,¡º,52,70,39,1.5,47,61
2015-12-25,70,¡º,44,82,68,2,56,44
2015-12-26,87,¡º,64,121,66,2.6,63,34
2015-12-27,105,«·∂»Œ€»æ,79,124,83,2.8,70,29
2015-12-28,84,¡º,62,98,67,2.6,67,35
2015-12-29,109,«·∂»Œ€»æ,82,130,80,3.2,71,31
2015-12-30,99,¡º,74,114,90,3.2,73,31
2015-12-31,65,¡º,47,66,49,1.6,48,60
2016-01-01,97,¡º,72,103,70,2.9,69,42
2016-01-02,78,¡º,57,80,59,2.3,62,34
2016-01-03,75,¡º,49,77,49,1.7,60,41
2016-01-04,88,¡º,38,103,82,2.9,70,40
2016-01-05,59,¡º,33,59,41,1.6,47,26
2016-01-06,57,¡º,38,61,43,1.2,45,32
2016-01-07,65,¡º,47,74,45,1.1,48,62
2016-01-08,62,¡º,44,61,34,0.9,38,43
2016-01-09,47,”≈,31,47,41,1,35,44
2016-01-10,54,¡º,38,57,53,1.2,42,45
2016-01-11,54,¡º,35,58,45,0.9,32,53
2016-01-12,62,¡º,44,54,34,1,29,41
2016-01-13,67,¡º,48,64,39,0.9,30,53
2016-01-14,78,¡º,57,85,46,1.4,50,63
2016-01-15,68,¡º,49,68,42,1.2,47,41
2016-01-16,84,¡º,62,92,52,1.7,59,38
2016-01-17,73,¡º,45,85,50,1.7,58,46
2016-01-18,67,¡º,45,76,44,1.3,53,57
2016-01-19,60,¡º,42,70,41,1.2,44,46
2016-01-20,46,”≈,27,46,34,0.8,28,66
2016-01-21,62,¡º,31,73,39,0.9,34,56
2016-01-22,47,”≈,30,47,24,0.5,12,60
2016-01-23,32,”≈,16,30,23,0.4,11,64
2016-01-24,43,”≈,21,43,32,0.7,25,63
2016-01-25,52,¡º,32,50,43,1.2,41,47
2016-01-26,49,”≈,34,48,38,0.9,34,61
2016-01-27,88,¡º,65,82,38,1,37,63
2016-01-28,100,¡º,75,94,40,1.3,49,46
2016-01-29,75,¡º,55,71,39,1.3,46,51
2016-01-30,84,¡º,62,75,47,1.3,42,38
2016-01-31,84,¡º,62,76,41,1,30,64
2016-02-01,77,¡º,56,74,40,1,33,65
2016-02-02,82,¡º,60,74,36,1.1,34,57
2016-02-03,102,«·∂»Œ€»æ,76,92,39,1.6,47,41
2016-02-04,94,¡º,70,88,45,1.6,43,59
2016-02-05,60,¡º,40,70,30,0.7,24,75
2016-02-06,69,¡º,46,88,48,1.2,40,57
2016-02-07,75,¡º,35,99,64,1.5,39,62
2016-02-08,97,¡º,72,139,59,1.3,37,64
2016-02-09,87,¡º,64,82,48,1.4,35,63
2016-02-10,84,¡º,62,80,54,1.5,38,66
2016-02-11,67,¡º,48,64,46,0.9,21,77
2016-02-12,59,¡º,42,56,34,0.7,18,76
2016-02-13,51,¡º,17,51,23,0.3,8,64
2016-02-14,37,”≈,15,37,29,0.4,12,62
2016-02-15,34,”≈,20,34,34,0.5,17,64
2016-02-16,46,”≈,23,46,31,0.7,26,63
2016-02-17,53,¡º,36,56,45,1,40,52
2016-02-18,63,¡º,45,55,41,0.9,32,61
2016-02-19,100,¡º,47,150,23,0.4,13,90
2016-02-20,149,«·∂»Œ€»æ,64,247,46,1,35,55
2016-02-21,106,«·∂»Œ€»æ,58,161,33,0.8,34,48
2016-02-22,69,¡º,44,87,39,0.7,29,65
2016-02-23,100,¡º,57,150,32,0.7,26,65
2016-02-24,74,¡º,41,98,36,0.6,26,53
2016-02-25,52,¡º,29,53,35,0.8,29,57
2016-02-26,60,¡º,37,69,38,0.8,32,60
2016-02-27,58,¡º,41,63,46,1.1,41,66
2016-02-28,129,«·∂»Œ€»æ,72,207,47,1.1,40,64
2016-02-29,161,÷–∂»Œ€»æ,87,271,39,0.7,34,72
2016-03-01,89,¡º,66,106,28,0.8,37,83
2016-03-02,80,¡º,59,101,31,0.9,37,82
2016-03-03,70,¡º,48,90,31,0.7,32,83
2016-03-04,114,«·∂»Œ€»æ,76,177,25,0.7,31,84
2016-03-05,158,÷–∂»Œ€»æ,62,266,25,0.6,22,68
2016-03-06,106,«·∂»Œ€»æ,56,162,28,0.7,28,77
2016-03-07,66,¡º,44,82,26,0.9,31,66
2016-03-08,81,¡º,45,112,24,0.9,34,75
2016-03-09,47,”≈,32,47,20,0.7,23,77
2016-03-10,71,¡º,36,91,22,0.3,18,57
2016-03-11,70,¡º,37,90,23,0.5,23,64
2016-03-12,65,¡º,42,80,30,0.6,31,58
2016-03-13,77,¡º,34,103,25,0.3,23,72
2016-03-14,70,¡º,32,89,26,0.5,24,72
2016-03-15,42,”≈,22,42,22,0.6,24,76
2016-03-16,60,¡º,43,63,16,0.7,26,64
2016-03-17,56,¡º,35,62,26,0.8,26,75
2016-03-18,68,¡º,36,86,25,0.6,26,81
2016-03-19,72,¡º,52,77,23,0.8,25,103
2016-03-20,63,¡º,45,62,25,1,30,96
2016-03-21,41,”≈,13,19,24,0.7,17,81
2016-03-22,55,¡º,19,24,28,1.2,44,66
2016-03-23,39,”≈,19,26,29,1,31,74
2016-03-24,37,”≈,20,27,25,0.8,28,74
2016-03-25,32,”≈,12,16,23,0.8,18,64
2016-03-26,43,”≈,19,35,32,0.5,19,85
2016-03-27,44,”≈,27,44,30,0.6,24,84
2016-03-28,53,¡º,35,56,24,0.8,36,82
2016-03-29,60,¡º,34,69,26,1.1,40,61
2016-03-30,38,”≈,19,32,4,0.4,18,75
2016-03-31,42,”≈,22,42,14,0.5,20,80
2016-04-01,54,¡º,38,54,28,0.6,22,81
2016-04-02,55,¡º,39,55,31,0.6,25,85
2016-04-03,49,”≈,27,44,29,0.6,23,98
2016-04-04,49,”≈,31,42,31,0.9,21,98
2016-04-05,35,”≈,14,22,31,1,28,54
2016-04-06,29,”≈,8,14,24,0.8,23,49
2016-04-07,33,”≈,13,32,27,0.8,26,57
2016-04-08,41,”≈,22,41,22,0.6,24,62
2016-04-09,44,”≈,14,21,21,0.5,20,87
2016-04-10,42,”≈,16,37,18,0.5,20,83
2016-04-11,38,”≈,20,36,22,0.6,27,75
2016-04-12,43,”≈,20,43,19,0.6,27,82
2016-04-13,49,”≈,28,49,19,0.7,33,78
2016-04-14,41,”≈,15,24,31,0.6,22,81
2016-04-15,37,”≈,12,20,20,0.6,19,74
2016-04-16,37,”≈,18,29,14,0.6,27,73
2016-04-17,51,¡º,16,52,20,0.4,14,93
2016-04-18,51,¡º,18,52,36,0.6,20,87
2016-04-19,63,¡º,26,75,51,0.6,21,98
2016-04-20,57,¡º,19,51,40,0.5,14,108
2016-04-21,52,¡º,23,54,32,0.6,23,94
2016-04-22,47,”≈,27,47,36,0.6,32,57
2016-04-23,46,”≈,18,35,25,0.6,21,91
2016-04-24,43,”≈,20,37,27,0.5,18,86
2016-04-25,41,”≈,18,27,29,0.5,16,82
2016-04-26,52,¡º,31,53,29,0.6,27,74
2016-04-27,48,”≈,24,48,17,0.5,19,94
2016-04-28,47,”≈,20,47,32,0.5,19,90
2016-04-29,53,¡º,35,55,25,0.6,20,96
2016-04-30,47,”≈,31,47,21,0.6,22,85
2016-05-01,48,”≈,30,48,21,0.6,18,83
2016-05-02,60,¡º,30,70,17,0.4,12,88
2016-05-03,51,¡º,26,52,22,0.6,21,85
2016-05-04,56,¡º,32,61,23,0.7,20,102
2016-05-05,73,¡º,53,85,10,0.7,21,101
2016-05-06,63,¡º,45,63,18,0.7,26,74
2016-05-07,59,¡º,26,67,19,0.5,17,74
2016-05-08,46,”≈,28,46,28,0.7,18,67
2016-05-09,35,”≈,15,31,34,0.9,15,70
2016-05-10,42,”≈,14,25,28,0.8,14,84
2016-05-11,63,¡º,45,64,31,0.6,18,100
2016-05-12,111,«·∂»Œ€»æ,61,171,25,0.4,11,91
2016-05-13,35,”≈,16,32,19,0.6,17,70
2016-05-14,45,”≈,23,45,34,0.6,23,80
2016-05-15,72,¡º,30,93,34,0.6,18,94
2016-05-16,78,¡º,44,106,40,0.6,19,88
2016-05-17,74,¡º,48,97,35,0.5,13,105
2016-05-18,59,¡º,38,67,32,0.6,17,91
2016-05-19,55,¡º,39,56,38,0.6,15,101
2016-05-20,43,”≈,28,39,31,0.5,14,86
2016-05-21,48,”≈,33,39,26,0.6,15,88
